source	target	weight
50986651	49186095	.91
50986651	51280090	.93
50986651	50782806	.87
50986651	48298910	.67
50986651	52513097	.58
50986651	49523302	.63
50986651	49511200	.57
50986651	49599509	.70
50986651	49405616	.95
50986651	52541525	.67
50986651	49269814	.93
50986651	49512629	.87
50986651	48399005	.80
50986651	49670545	.97
50986651	49631154	.55
50986651	51797219	.65
50986651	51112703	.97
50986651	50151772	.62
50986651	49153215	.72
50986651	49056723	.57
50986651	49518115	.96
50986651	49834694	.81
50986651	49737865	.67
50986651	51125169	.81
50986651	48841742	.66
50986651	48052940	.97
50986651	48351721	.56
50986651	52380615	.97
50986651	49835660	.85
50986651	51450521	.82
50986651	48117511	.49
50986651	49786779	.66
50986651	51080755	.95
50986651	49676155	.60
50986651	50461881	.77
50986651	50089436	.63
50986651	48096905	.52
50986651	49505245	.82
50986651	49891730	.58
50986651	52945041	.59
50986651	49518223	.65
50986651	52470044	.81
50986651	51123197	.82
50986651	52412023	.53
50986651	50146640	.61
50986651	51793345	.72
50986651	50279792	.67
50986651	49280632	.96
50986651	50157690	.76
50986651	50569501	.51
50986651	50313967	.62
50986651	49709023	.63
50986651	50149266	.45
50986651	48462550	.58
50986651	49162538	.79
50986651	49045393	.60
50986651	48406186	.64
50986651	48072438	.62
50986651	51399634	.97
50986651	52790020	.57
50986651	48759022	.67
50986651	49208772	.78
50986651	50782435	.67
50986651	49837344	.89
50986651	49574127	.67
50986651	48071618	.58
50986651	50586177	.55
50986651	49292487	.66
50986651	49990933	.78
50986651	48249633	.96
50986651	50577437	.58
50986651	49171052	.79
50986651	50117626	.97
50986651	49112190	.63
50986651	48709870	.79
48343557	48518463	.19
48343557	49591360	.26
48343557	48341078	.36
48343557	48225095	.25
48343557	49306385	.34
48343557	49130606	.25
48343557	48279382	.24
48343557	49473098	.32
48343557	48477861	.16
48343557	49083535	.91
48343557	51817913	.68
48343557	49663548	.21
48343557	48594851	.25
48343557	48380892	.26
48343557	52583886	.26
50594020	49208056	.14
50594020	50209122	.20
50594020	49123932	.03
50594020	50970211	.26
50594020	49768774	.37
50594020	48450262	.34
50594020	49643536	.04
50594020	48590579	.35
50594020	51211646	.13
50594020	49432666	.18
50594020	48522849	.17
50594020	48625444	.18
50594020	50221618	.04
50594020	49171623	.25
50594020	50676654	.30
50594020	49682644	.20
50594020	48440223	.25
50594020	48481003	.30
48412727	50342750	.85
48412727	49091983	.82
48412727	50322550	.28
48412727	49083573	.43
48412727	48343993	.14
48412727	51179516	.77
48412727	50855622	.28
48412727	50557234	.22
48412727	51125414	.39
48412727	48477861	.35
48412727	49992868	.85
48412727	50088142	.47
48412727	49663548	.06
48412727	48363789	.40
48412727	48218065	.21
48412727	51468059	.79
48412727	49945649	.52
48412727	52032739	.79
48412727	48946680	.14
48412727	48145057	.13
48412727	50169576	.75
48412727	49984267	.23
48412727	50505042	.24
48412727	49931541	.79
48412727	50193771	.28
48412727	48308826	.77
48412727	50026939	.43
48412727	49796452	.69
48412727	50379839	.28
48412727	50177216	.77
48412727	50690076	.75
48412727	49730100	.37
48412727	52511778	.12
48412727	49948350	.66
48412727	50387952	.20
48412727	50093144	.44
48412727	49194719	.66
48140183	48518463	.20
48140183	49129536	.20
48140183	48439865	.07
48140183	48107055	.06
48140183	48967318	.19
48140183	50201874	.19
48140183	48218065	.02
48140183	49301373	.16
48140183	50690076	.11
48140183	49194719	.09
48247478	49276785	.60
48247478	48753051	.10
50202948	48237779	.68
50202948	48164039	.59
50202948	49999570	.68
50202948	51081663	.72
50202948	48073057	.62
50202948	50275945	.59
50202948	49648270	.61
50202948	49013217	.70
50202948	50619327	.68
50202948	48435876	.54
50202948	50181181	.79
50202948	49633320	.62
50202948	49203841	.10
50202948	48540533	.50
50202948	48991706	.09
50202948	48321610	.77
50202948	50968674	.77
50202948	51084724	.56
50202948	48098288	.77
50202948	51083943	.71
50202948	50831686	.68
50202948	49039457	.78
50202948	48376554	.70
50202948	48230917	.69
50202948	48350506	.77
50202948	49013811	.73
50202948	49970970	.62
50202948	49699411	.65
50202948	48368818	.69
50202948	49123932	.69
50202948	49831485	.67
50202948	49522542	.76
50202948	50229130	.75
50202948	50607264	.59
50202948	48541270	.54
50202948	49894620	.07
50202948	48731933	.78
50202948	48900860	.58
50202948	49552258	.44
50202948	48298361	.66
50202948	50190337	.73
50202948	49348365	.07
50202948	48268074	.62
50202948	50780419	.47
50202948	50843655	.69
50202948	48058827	.77
50202948	49415958	.58
50202948	50694913	.72
50202948	48128847	.67
50202948	50292479	.72
50202948	50962572	.58
50202948	49760641	.09
50202948	48250528	.77
50202948	50845983	.70
50202948	49787673	.77
50202948	48276404	.73
50202948	50209119	.75
50202948	50967309	.80
50202948	50188560	.78
50202948	48283679	.68
50202948	50268300	.78
50202948	51363693	.77
50202948	50233046	.69
50202948	48748066	.62
50202948	48216330	.77
50202948	50519121	.76
50202948	50313296	.90
50202948	50508334	.70
50202948	49632291	.07
50202948	50280975	.87
50202948	48705555	.77
50202948	50006888	.68
50202948	48797135	.51
50202948	49643536	.58
50202948	50448981	.63
50202948	49526681	.45
50202948	49802163	.77
50202948	50134205	.53
50202948	51490317	.09
50202948	48991372	.57
50202948	48947314	.68
50202948	49071267	.75
50202948	50798592	.49
50202948	50307628	.56
50202948	51000252	.73
50202948	50455347	.56
50202948	49446163	.46
50202948	53258297	.76
50202948	50279192	.90
50202948	48537188	.62
50202948	49182864	.78
50202948	50230927	.64
50202948	49319272	.78
50202948	50353164	.66
50202948	49410921	.08
50202948	48525216	.78
50202948	50374194	.71
50202948	49092291	.05
50202948	48343853	.78
50202948	48996054	.68
50202948	51536262	.62
50202948	48981833	.08
50202948	48468957	.67
50202948	53578372	.51
50202948	48506606	.71
50202948	48308936	.08
50202948	48496914	.58
50202948	50924901	.75
50202948	48557390	.61
50202948	49899641	.67
50202948	50208642	.52
50202948	49878988	.78
50202948	50437328	.73
50202948	49078286	.67
50202948	50024565	.55
50202948	50572363	.61
50202948	49701587	.77
50202948	50620434	.60
50202948	48493652	.65
50202948	48182912	.62
50202948	51299944	.78
50202948	50415158	.72
50202948	49145250	.62
50202948	50200859	.70
50202948	50328751	.85
50202948	50203241	.73
50202948	48572621	.56
50202948	50720563	.79
50202948	49017682	.07
50202948	50842115	.58
50202948	48075688	.76
50202948	48668701	.72
50202948	51013313	.70
50202948	48153669	.78
50202948	50221618	.86
50202948	50306603	.62
50202948	50485433	.56
50202948	51383618	.06
50202948	51096781	.62
50202948	49905882	.52
50202948	49918503	.76
50202948	49031113	.57
50202948	48104842	.07
50202948	48521971	.71
50202948	48436145	.78
50202948	48802074	.76
50202948	50462402	.55
50202948	49182862	.10
50202948	49102724	.56
50202948	48092880	.78
50202948	49776562	.68
50202948	48394003	.52
50202948	50228138	.73
50202948	52047548	.75
50202948	49537782	.60
50202948	50192815	.59
50202948	50772529	.90
50202948	51605737	.73
50202948	50270330	.62
50202948	50220854	.74
50202948	48183677	.69
50202948	50222738	.90
50202948	48187362	.56
50202948	49370849	.08
50202948	48579863	.78
50202948	49030977	.57
50202948	50165010	.60
50202948	49148753	.46
50202948	48048299	.62
50202948	51009331	.62
50202948	50232874	.78
50202948	48626005	.67
50202948	48184107	.55
50202948	48985780	.08
50202948	50970446	.71
50202948	48280400	.67
50202948	48395804	.06
50202948	49053215	.07
50202948	52607924	.76
50202948	50174584	.79
50202948	53096996	.61
50202948	50013398	.77
50202948	49811177	.72
50202948	48226868	.62
50202948	48100238	.61
50202948	50196282	.12
50202948	50290197	.53
50202948	48970553	.76
50202948	49840152	.66
50202948	50333003	.78
52426643	50257014	.30
52426643	51531165	.29
52426643	49564513	.65
52426643	50709377	.54
52426643	51640360	.66
52426643	50692775	.32
52426643	50694262	.59
52426643	48078018	.12
52426643	49575679	.35
52426643	51397347	.52
52426643	49643253	.36
52426643	51405776	.30
52426643	51387873	.72
52426643	50709330	.19
52426643	52385600	.05
52426643	49584185	.33
52426643	49622341	.36
52426643	48346709	.36
52426643	52473290	.32
52426643	51010390	.31
52426643	52281848	.42
52426643	52421999	.94
52426643	51912404	.31
52426643	48584288	.70
52426643	51051532	.56
52426643	49592840	.35
52426643	50694822	.51
52426643	51071090	.85
52426643	52401856	.36
52426643	50925160	.44
52426643	52387452	.80
52426643	50633023	.38
52426643	50962797	.56
52426643	50696931	.89
52426643	50701321	.66
52426643	49586341	.35
52426643	51215836	.84
52426643	52424462	.74
52426643	49162538	.02
52426643	51174105	.50
52426643	49720178	.71
52426643	52390368	.17
52426643	52522565	.25
52426643	50718018	.19
48874382	49676660	.27
48874382	50217075	.04
48874382	48422377	.50
48874382	48714879	.03
50792311	50986651	.93
50792311	48874382	.02
50792311	50086183	.87
50792311	52690296	.97
50792311	52145064	.58
50792311	49834961	.58
50792311	49295415	.58
50792311	48103748	.97
50792311	51957944	.95
50792311	52503768	.57
50792311	48078018	.77
50792311	48519896	.96
50792311	49505929	.58
50792311	52512326	.55
50792311	50085237	.97
50792311	48061593	.48
50792311	49683234	.78
50792311	48276868	.82
50792311	50757141	.96
50792311	51218535	.71
50792311	49676660	.02
50792311	49949818	.82
50792311	52786963	.88
50792311	50134196	.80
50792311	49718415	.70
50792311	50207790	.67
50792311	52076491	.76
50792311	48531410	.94
50792311	49510176	.52
50792311	49525708	.56
50792311	49518003	.60
50792311	52557175	.85
50792311	50558470	.77
50792311	49895280	.67
50792311	49608409	.56
50792311	50795697	.81
50792311	50205825	.67
50792311	49506307	.65
50792311	48689930	.96
50792311	48335551	.97
50792311	49837474	.53
50792311	52193274	.52
50792311	50344635	.90
50792311	50120459	.89
50792311	51202130	.67
50792311	49514488	.65
50792311	49002527	.79
50792311	49955489	.55
50792311	48527171	.95
50792311	51489362	.95
50792311	49321000	.88
50792311	49171300	.97
50792311	50387207	.77
50792311	49962542	.74
50792311	49331411	.63
50792311	49553021	.58
50792311	49818415	.84
50792311	49522619	.64
50792311	50289355	.54
50792311	50266035	.97
50792311	48172519	.95
50792311	48898102	.90
50792311	52352941	.90
50792311	49991444	.81
50792311	49186095	.91
50792311	51280090	.93
50792311	50782806	.87
50792311	48298910	.67
50792311	52513097	.58
50792311	49523302	.63
50792311	49511200	.57
50792311	49599509	.70
50792311	49405616	.95
50792311	52541525	.67
50792311	49269814	.93
50792311	49512629	.87
50792311	48399005	.80
50792311	49670545	.97
50792311	49631154	.55
50792311	51797219	.65
50792311	51112703	.97
50792311	50151772	.62
50792311	49153215	.72
50792311	49056723	.57
50792311	49518115	.96
50792311	49834694	.81
50792311	49737865	.67
50792311	51125169	.81
50792311	48841742	.66
50792311	48052940	.97
50792311	48351721	.56
50792311	52380615	.94
50792311	49835660	.85
50792311	51450521	.82
50792311	48117511	.49
50792311	49786779	.66
50792311	51080755	.95
50792311	49676155	.60
50792311	50461881	.77
50792311	50089436	.63
50792311	48096905	.52
50792311	49505245	.82
50792311	49891730	.58
50792311	52945041	.59
50792311	49518223	.65
50792311	52470044	.81
50792311	51123197	.82
50792311	52412023	.53
50792311	50146640	.61
50792311	51793345	.72
50792311	50279792	.67
50792311	49280632	.96
50792311	50157690	.76
50792311	50569501	.51
50792311	50313967	.62
50792311	49709023	.63
50792311	50149266	.45
50792311	48462550	.58
50792311	49162538	.79
50792311	49045393	.60
50792311	48406186	.64
50792311	48072438	.62
50792311	51399634	.97
50792311	52790020	.57
50792311	48759022	.67
50792311	49208772	.78
50792311	50782435	.67
50792311	49837344	.89
50792311	49574127	.67
50792311	48071618	.58
50792311	50586177	.55
50792311	49292487	.66
50792311	49990933	.78
50792311	48249633	.96
50792311	50577437	.58
50792311	49171052	.79
50792311	50117626	.97
50792311	49112190	.63
50792311	48709870	.79
48518463	48341078	.09
48518463	49306385	.09
48518463	51179516	.06
48518463	49473098	.08
48518463	49083535	.19
48518463	50201874	.18
48518463	50690076	.10
48518463	49948350	.05
48518463	49194719	.09
48237779	48164039	.72
48237779	49999570	.73
48237779	51081663	.77
48237779	48073057	.66
48237779	50275945	.62
48237779	49648270	.64
48237779	49013217	.75
48237779	50619327	.73
48237779	48435876	.47
48237779	50181181	.66
48237779	49633320	.66
48237779	48540533	.61
48237779	49391266	.07
48237779	48321610	.83
48237779	50968674	.83
48237779	51084724	.59
48237779	48098288	.83
48237779	51083943	.76
48237779	50831686	.57
48237779	49039457	.84
48237779	48376554	.90
48237779	48230917	.74
48237779	48350506	.83
48237779	49013811	.91
48237779	49739299	.07
48237779	49970970	.66
48237779	49699411	.79
48237779	48368818	.74
48237779	49123932	.73
48237779	49831485	.71
48237779	49522542	.82
48237779	50229130	.81
48237779	50607264	.62
48237779	48541270	.57
48237779	48731933	.84
48237779	48900860	.61
48237779	49552258	.46
48237779	48298361	.70
48237779	50190337	.91
48237779	48268074	.66
48237779	50780419	.49
48237779	50843655	.73
48237779	48058827	.83
48237779	49415958	.62
48237779	50694913	.60
48237779	49088507	.06
48237779	48128847	.71
48237779	50292479	.77
48237779	50962572	.61
48237779	48665392	.08
48237779	48250528	.83
48237779	50845983	.75
48237779	49787673	.83
48237779	48276404	.91
48237779	49184471	.08
48237779	50209119	.81
48237779	50967309	.67
48237779	49949548	.08
48237779	50188560	.84
48237779	48283679	.73
48237779	50268300	.65
48237779	51363693	.83
48237779	50233046	.74
48237779	48748066	.66
48237779	48216330	.83
48237779	50519121	.82
48237779	50313296	.75
48237779	50508334	.58
48237779	50280975	.72
48237779	48705555	.83
48237779	50006888	.72
48237779	48797135	.54
48237779	49643536	.61
48237779	50448981	.53
